UserId,SessionId,Duration,SessionSequence
c1cc1ea7-74e6-4d54-b354-77b8f36e3c6c,f5435878-5e2f-4f3a-b0c8-78c83cbacb4d,00:17:09.1220000,03530
c1cc1ea7-74e6-4d54-b354-77b8f36e3c6c,c0c80af8-f7c4-4974-b83a-72f7927638b3,00:34:34.0551830,0151535351530
de431a5c-b69a-4659-8170-b9d1a1b1b8fb,806cf17f-11da-400b-adf7-02dbfcbf02a3,00:03:03.6520000,030
de431a5c-b69a-4659-8170-b9d1a1b1b8fb,276e2886-6991-47bf-9047-0eeb430d353a,00:18:43.5280900,026763530
de431a5c-b69a-4659-8170-b9d1a1b1b8fb,6aadf7a9-9106-46da-927c-df7c7a23ea7f,00:03:54.8230000,010
de431a5c-b69a-4659-8170-b9d1a1b1b8fb,3c7db7c0-0428-49a9-abda-aaab52d0be52,00:54:15.5370000,0267674247620
c4d01136-a97b-42ae-a4de-cfa48908c597,12927815-41ca-4b82-ba3b-ca9861a33389,00:10:35.8860340,01530
c4d01136-a97b-42ae-a4de-cfa48908c597,6d574afd-1c97-4474-9e5f-07de8e95ea01,00:15:14.4372430,0153510
c4d01136-a97b-42ae-a4de-cfa48908c597,b7fdf93d-408d-40f4-8143-b01225930009,00:10:51.0266760,03510
c4d01136-a97b-42ae-a4de-cfa48908c597,24a8a151-fb3a-47d7-a955-94656bec3e24,00:04:09.1920000,010
c4d01136-a97b-42ae-a4de-cfa48908c597,9fbb0793-602d-48fa-b12a-b078534a631a,00:38:16.4060000,020
afae9b44-359e-49f6-9544-87f40c43bdef,3fa26e9b-24e2-4f32-9fc9-f82954f56307,01:03:59.0180000,02626247420
46ffd1a1-0a5f-4c41-a8fc-82745c6de97e,0a2e7115-654d-4ed2-b9c4-103a7e2f3ec0,01:19:07.3286280,024267576767514267420
d9f94a6c-b1c7-4db4-b66a-8e541c8ea7c2,8915e351-7fe2-4ec3-9efe-454aa86559ff,00:14:17.7120000,030
d9f94a6c-b1c7-4db4-b66a-8e541c8ea7c2,c658b253-a62f-4735-ab16-f79485dcf1c1,00:04:56.4150000,010
d9f94a6c-b1c7-4db4-b66a-8e541c8ea7c2,6548fd2a-26b8-4724-be72-477b96d765bd,00:33:04.1016490,035153530
48928c67-f328-4d83-b46c-d7452eecac00,c5c8ca50-a375-4a0c-ac39-e1fe55f9367f,00:08:25.6060000,010
48928c67-f328-4d83-b46c-d7452eecac00,a766033b-789a-4114-9fc3-30eec5093325,00:17:37.7573040,015351530
48928c67-f328-4d83-b46c-d7452eecac00,c125ffc8-20c2-4c64-9b0b-e2d37ec1f6b2,00:47:33.0000380,024142420
14dd4692-3ca0-457c-9b05-c1b9819503f9,7d57367c-303c-4ac8-82b6-9c787bb4c84e,00:15:50.6403810,0153510
14dd4692-3ca0-457c-9b05-c1b9819503f9,3cd40ae9-483a-4a2b-bad9-0b04e1bd13b2,00:03:23.1860000,010
14dd4692-3ca0-457c-9b05-c1b9819503f9,53b8e5ce-c45e-4cfe-b536-e6764b226964,00:46:13.9618420,02676767675147620
35ee15f6-a241-4b80-ba7c-5a179f3b0f53,6ce06bb4-5ec3-4049-b063-6fddb85b7af2,00:06:03.3850000,010
35ee15f6-a241-4b80-ba7c-5a179f3b0f53,3202af95-ae30-4552-babb-54aa95bce93b,00:13:16.8650000,03530
35ee15f6-a241-4b80-ba7c-5a179f3b0f53,7650b41c-acbd-4263-828a-e26410f70a12,00:38:55.2490000,0247620
c5d10b7f-c173-4380-a1f2-d3202bc60c3a,1953c016-5422-47bb-99b9-c1d90be9405e,00:06:37.0622850,0267630
c5d10b7f-c173-4380-a1f2-d3202bc60c3a,7a30521c-5311-4641-8e83-f56314d7b2ab,01:00:26.5770000,024767424767420
454bfbdd-60b1-42e6-bb38-9355bc803104,2809aa99-d130-4ff2-89fd-4da218d23055,00:28:53.8842870,0153515353510
454bfbdd-60b1-42e6-bb38-9355bc803104,67df2881-2ee4-42d2-9060-a3745614c430,00:43:27.5350000,024247620
14eff678-86b5-4df9-a976-4dcd1ca7e067,1716a8b1-3874-44d4-8eb0-191bcd79a33e,00:09:36.6450880,03510
14eff678-86b5-4df9-a976-4dcd1ca7e067,56aac270-4b86-4994-9c39-1137b3785102,00:15:46.0460000,0353530
14eff678-86b5-4df9-a976-4dcd1ca7e067,42a194f6-ec77-4f9e-8ce1-af4dcb2dab3e,00:08:13.6303920,0153510
14eff678-86b5-4df9-a976-4dcd1ca7e067,47257ee3-6ffe-44d4-861e-99d2aad96df9,00:23:29.8598170,0153530
c20a7af8-6da4-4dc0-9545-27e9df121a24,6d2c3256-7924-4f96-baea-175c8a49bff7,00:18:48.0772010,03510
c20a7af8-6da4-4dc0-9545-27e9df121a24,5223f7dc-1851-4ef2-99d7-332623f7093f,00:13:18.3660850,01530
c20a7af8-6da4-4dc0-9545-27e9df121a24,cf6368fb-189f-40a1-94a8-d43c7adecb19,00:06:51.1400000,010
c20a7af8-6da4-4dc0-9545-27e9df121a24,dbe235e3-b1bf-41d2-b9d5-52be77478e32,00:21:40.8050000,03530
d715b584-5c62-4980-87da-6c8ec2c155ae,b157f774-9fb4-4415-95f3-e8d8c1148c28,00:09:26.9690000,030
d715b584-5c62-4980-87da-6c8ec2c155ae,b2f0d2f4-61b8-4624-8f41-b9be986190ed,00:43:55.0420000,0262476767420
e7db9c8c-a57a-42f8-8ea3-941824a2b5ec,180d5e43-6386-4b4f-9815-934b87baa0f8,00:25:39.8623850,0153510
e7db9c8c-a57a-42f8-8ea3-941824a2b5ec,ecb30917-bc84-4fd2-9d2a-0660b7cf327c,00:08:25.2050000,010
e7db9c8c-a57a-42f8-8ea3-941824a2b5ec,fd6eca2e-80b8-4d9a-a53c-963182cc9ab7,00:18:39.8490000,02620
